"asm_script","status","partial_reason","c_owner","evidence","matched_map_symbols","maps_referenced","warps","npcs","signs","items","trainers","hidden_events","surface_score","keyness"
"SilphCo6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo6F","1","5","8","0","2","0","0","17","medium"
"RockTunnel1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RockTunnel1F","1","8","7","1","0","0","0","16","medium"
"Route11.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route11","1","5","10","1","0","0","0","16","medium"
"Route17.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route17","1","0","10","6","0","0","0","16","medium"
"VictoryRoad3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_VictoryRoad3F","1","4","8","0","2","0","0","16","medium"
"GameCorner.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_GameCorner","1","3","11","1","0","0","0","15","medium"
"LavenderTown.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_LavenderTown","1","6","3","6","0","0","0","15","medium"
"Route8.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route8","1","5","9","1","0","0","0","15","medium"
"SilphCo10F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo10F","1","6","3","0","3","0","0","15","medium"
"SilphCo3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo3F","1","10","3","0","1","0","0","15","medium"
"PalletTown.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; pallet_scripts.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_PalletTown","1","3","4","4","0","1","0","14","high"
"PokemonMansionB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansionB1F","1","1","3","0","5","0","0","14","medium"
"RocketHideoutB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB1F","1","5","5","0","2","0","0","14","medium"
"RocketHideoutB2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB2F","1","5","1","0","4","0","0","14","medium"
"Route10.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route10","1","4","6","4","0","0","0","14","medium"
"Route20.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route20","1","2","10","2","0","0","0","14","medium"
"ViridianGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_ViridianGym","1","2","10","0","1","0","0","14","medium"
"PokemonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion1F","1","8","1","0","2","0","0","13","medium"
"Route13.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route13","1","0","10","3","0","0","0","13","medium"
"SeafoamIslandsB3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslandsB3F","1","7","6","0","0","0","0","13","medium"
"SSAnneBow.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SSAnneBow","1","2","5","0","0","2","0","13","high"
"CeladonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMansion3F","1","4","4","4","0","0","0","12","medium"
"CeruleanGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeruleanGym","1","2","4","0","0","2","0","12","high"
"CeruleanTrashedHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeruleanTrashedHouse","2","6","4","2","0","0","0","12","medium"
"CinnabarIsland.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarIsland","1","5","2","5","0","0","0","12","medium"
"RockTunnelB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RockTunnelB1F","1","4","8","0","0","0","0","12","medium"
"Route23.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route23","1","4","7","1","0","0","0","12","medium"
"Route9.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route9","1","0","9","1","1","0","0","12","medium"
"VictoryRoad1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_VictoryRoad1F","1","3","5","0","2","0","0","12","medium"
"CinnabarGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarGym","1","2","9","0","0","0","0","11","medium"
"PokemonTower4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower4F","1","2","3","0","3","0","0","11","medium"
"Route14.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route14","1","0","10","1","0","0","0","11","medium"
"Route19.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route19","1","0","10","1","0","0","0","11","medium"
"SilphCo8F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo8F","1","7","4","0","0","0","0","11","medium"
"CeladonGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonGym","1","2","8","0","0","0","0","10","medium"
"CeladonMansion1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMansion1F","1","5","4","1","0","0","0","10","medium"
"CinnabarLab.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarLab","1","5","1","4","0","0","0","10","medium"
"CinnabarMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarMart","2","4","6","0","0","0","0","10","medium"
"FuchsiaGym.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_FuchsiaGym","1","2","8","0","0","0","0","10","medium"
"IndigoPlateau.asm","partial","mapped only via strict split/variant symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","kNpcs_IndigoPlateauLobby","1","3","5","0","0","0","1","10","medium"
"IndigoPlateauLobby.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_IndigoPlateauLobby","1","3","5","0","0","0","1","10","medium"
"MtMoonPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_MtMoonPokecenter","1","2","6","0","0","0","1","10","medium"
"Museum1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Museum1F","1","5","5","0","0","0","0","10","medium"
"PokemonFanClub.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonFanClub","1","2","6","2","0","0","0","10","medium"
"PokemonMansion3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion3F","1","3","3","0","2","0","0","10","medium"
"Route4.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route4","1","3","2","3","1","0","0","10","medium"
"CeladonMart1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMart1F","1","6","1","2","0","0","0","9","medium"
"PokemonMansion2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonMansion2F","1","4","3","0","1","0","0","9","medium"
"PokemonTower5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower5F","1","2","5","0","1","0","0","9","medium"
"PokemonTower6F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower6F","1","2","3","0","2","0","0","9","medium"
"Route18.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route18","1","4","3","2","0","0","0","9","medium"
"Route21.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Route21","1","0","9","0","0","0","0","9","medium"
"SeafoamIslands1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslands1F","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslandsB1F","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslandsB2F","1","7","2","0","0","0","0","9","medium"
"SeafoamIslandsB4F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SeafoamIslandsB4F","1","4","3","2","0","0","0","9","medium"
"SilphCo11F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo11F","1","4","5","0","0","0","0","9","medium"
"SilphCo9F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SilphCo9F","1","5","4","0","0","0","0","9","medium"
"UndergroundPathRoute7.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact; event_map_symbol_prefix","kNpcs_UndergroundPathRoute7; kNpcs_UndergroundPathRoute7Copy","2","6","3","0","0","0","0","9","medium"
"CeladonMart2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMart2F","1","3","4","1","0","0","0","8","medium"
"CeladonMart5F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonMart5F","1","3","4","1","0","0","0","8","medium"
"CeladonPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeladonPokecenter","1","2","4","0","0","0","1","8","medium"
"CeruleanPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CeruleanPokecenter","1","2","4","0","0","0","1","8","medium"
"CinnabarPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CinnabarPokecenter","1","2","4","0","0","0","1","8","medium"
"CopycatsHouse2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_CopycatsHouse2F","1","1","5","2","0","0","0","8","medium"
"DiglettsCave.asm","partial","mapped only via strict split/variant symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","kNpcs_DiglettsCaveRoute11; kNpcs_DiglettsCaveRoute2","2","6","2","0","0","0","0","8","medium"
"FuchsiaPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_FuchsiaPokecenter","1","2","4","0","0","0","1","8","medium"
"LavenderPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_LavenderPokecenter","1","2","4","0","0","0","1","8","medium"
"MrFujisHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_MrFujisHouse","1","2","6","0","0","0","0","8","medium"
"Museum2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_Museum2F","1","1","5","2","0","0","0","8","medium"
"PewterGym.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gym_scripts.c","event_map_symbol_exact; explicit_scripts_ref","kNpcs_PewterGym","1","2","3","0","0","1","0","8","high"
"PewterPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PewterPokecenter","1","2","4","0","0","0","1","8","medium"
"PokemonTower1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_PokemonTower1F","1","3","5","0","0","0","0","8","medium"
"RocketHideoutB3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RocketHideoutB3F","1","2","2","0","2","0","0","8","medium"
"RockTunnelPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_RockTunnelPokecenter","1","2","4","0","0","0","1","8","medium"
"SaffronPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SaffronPokecenter","1","2","4","0","0","0","1","8","medium"
"SSAnneKitchen.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_SSAnneKitchen","1","1","7","0","0","0","0","8","medium"
"UndergroundPathRoute6.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_UndergroundPathRoute6","2","6","2","0","0","0","0","8","medium"
"VermilionPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_VermilionPokecenter","1","2","4","0","0","0","1","8","medium"
"ViridianPokecenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","kNpcs_ViridianPokecenter","1","2","4","0","0","0","1","8","medium"
